latitude,longitude
-38.37667,178.1708433
-38.35175333,178.199855
-38.35175333,178.199855
-38.32409833,178.1558633
-38.45302778,177.6746861
-38.52941667,177.6058217
-38.53452,177.5516867
-38.570145,177.45362
-38.60249167,177.4313117
-38.628195,177.475775
-38.67720167,177.6066183
-38.71952167,177.600355
-38.72919,177.5927917
-38.851625,177.6613667
-38.851625,177.6613667
-38.84911833,177.674495
-38.87335833,177.7494283
-38.71440667,177.8715383
-38.72841389,177.5968528
-38.833745,177.5175083
-38.827295,177.5152683
-38.88141833,177.4867717
-38.88826,177.4956267
-38.79355333,177.7802133
-38.72819667,177.847495
-38.40733833,178.1010183
-38.40804833,178.0989883
-38.39102167,178.1196417
-38.11453,178.2936233
-38.11205167,178.2848867
-38.51023333,178.0442
-38.51023333,178.0442
-38.50543667,178.06669
-38.42321667,178.0910517
-38.35807167,178.23038
-38.30292667,178.255345
-38.12266167,178.2972017
-38.46267167,178.0230117
-38.54611333,178.0062483
-38.59004,177.71007
-38.57259667,177.7392333
-38.34923708,178.2488909
-38.34888639,178.2534455
-38.68591375,177.8698657
-38.66170556,178.0319056
-38.66165833,178.0319528
-38.66165833,178.0319528
-38.66158611,178.0320139
-38.64988056,178.0328667
-38.66479444,178.0317083
-38.66506944,178.0314167
-38.34618167,178.0506683
-45.901286111111,170.48802222222
-45.901241666667,170.48814444444
-45.901252777778,170.48814444444
-45.901263888889,170.48815833333
-45.901255555556,170.48815833333
-45.901416666667,170.48783888889
-45.901244444444,170.48814444444
-45.904055555556,170.49568055556
-45.90243833016,170.49273582584
-43.5119352,172.709506
-45.868362863423,170.5974201192
-45.87002703163,170.59908565982
-45.866858333333,170.51440555556
-45.856084950588,170.52329970662
-45.855974838071,170.52336036633
-45.856168546081,170.52327518466
-45.856144276425,170.52321710627
-45.900502777778,170.51826388889
-45.870166650004,170.74127471228
-45.901572222222,170.51834166667
-45.901622222222,170.518325
-45.901474250969,170.51822964836
-45.9085101,170.4928822
-45.9085104,170.4928705
-45.8948608,170.5017344
-45.8948608,170.5017344
-45.907031288774,170.49183786855
-45.907248460183,170.49126420211
-45.907125050028,170.4916653977
-45.906959716542,170.49192791618
-45.907093716705,170.49165006814
-45.903054419383,170.49502137275
-45.897219032046,170.48055000788
-45.905506767555,170.49538829279
-45.904805425986,170.49477551909
